image	image_id	size	repo_digests
lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612	9365640987dbf6db2df79648ff84aa9a214ab1c78cca539433480880a7c3a95b	27331802964	lmsysorg/sglang-rocm@sha256:9365640987dbf6db2df79648ff84aa9a214ab1c78cca539433480880a7c3a95b
vllm/vllm-openai-rocm:v0.22.0	c3f18c9baf778cb4f9456a0f161e658fb45d70e3cd534dc3d1c55fac478d03bd	12784812292	vllm/vllm-openai-rocm@sha256:c3f18c9baf778cb4f9456a0f161e658fb45d70e3cd534dc3d1c55fac478d03bd
lmsysorg/sglang-rocm:v0.5.12.post1-rocm720-mi35x-20260528	b006e06a35a185d48395c7b7a35115d925d48070ba746ec05c11928769c8ce55	27252093673	lmsysorg/sglang-rocm@sha256:b006e06a35a185d48395c7b7a35115d925d48070ba746ec05c11928769c8ce55
vllm/vllm-openai-rocm:v0.21.0	98a77b20df03adeb1cfc0ced009b4df6dd52b0a994ab99a32421f30876a9ae0c	12759012637	vllm/vllm-openai-rocm@sha256:98a77b20df03adeb1cfc0ced009b4df6dd52b0a994ab99a32421f30876a9ae0c
rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4	9167f3b85e74cc8f9df53aa3ff93675289222d2a6a9cd7057d0e4b45bdb1a81b	26844766735	rocm/sgl-dev@sha256:9167f3b85e74cc8f9df53aa3ff93675289222d2a6a9cd7057d0e4b45bdb1a81b
lmsysorg/sglang-rocm:v0.5.10rc0-rocm720-mi35x-20260413	67cabebd635191ae964a026147d6cd930a5d61ebe51e73e53154269348bf8a7f	26233285249	lmsysorg/sglang-rocm@sha256:67cabebd635191ae964a026147d6cd930a5d61ebe51e73e53154269348bf8a7f
vllm/vllm-openai-rocm:v0.18.0	a26563e7eedcac93a61b5a16aed5734e4e5bca25a12bf4b2c21556c5b2b8adfc	8303623493	vllm/vllm-openai-rocm@sha256:a26563e7eedcac93a61b5a16aed5734e4e5bca25a12bf4b2c21556c5b2b8adfc
rocm:latest	52ef0c5a0a004532cb65b4785e47f19fb44045134fb7b5086b0f5b947da6b936	8988784277	rocm@sha256:52ef0c5a0a004532cb65b4785e47f19fb44045134fb7b5086b0f5b947da6b936
vllm/vllm-openai-rocm:v0.16.0	4566dbfa83e2769394d8e1191638549f19a48ae63a96e0cbfe4b12c06d38bb09	9103997897	vllm/vllm-openai-rocm@sha256:4566dbfa83e2769394d8e1191638549f19a48ae63a96e0cbfe4b12c06d38bb09
rocm/sgl-dev:v0.5.8.post1-rocm720-mi35x-20260219	bf926a3b7fdd01822deb2a8053c753f98b97722c3c4d254611650e117c7287b7	29302700401	rocm/sgl-dev@sha256:bf926a3b7fdd01822deb2a8053c753f98b97722c3c4d254611650e117c7287b7
rocm/sgl-dev:v0.5.8.post1-rocm720-mi35x-20260218	5fe418ac6a16244a233cc2a135ce98781c6995f3fab1b9f4f9461288f361d098	29303231194	rocm/sgl-dev@sha256:5fe418ac6a16244a233cc2a135ce98781c6995f3fab1b9f4f9461288f361d098
vllm/vllm-openai-rocm:v0.15.1	4c7fbd92fe07e4dab956d283b5d61b971f6242516647df6af06fdcbc34fddc2c	9079043557	vllm/vllm-openai-rocm@sha256:4c7fbd92fe07e4dab956d283b5d61b971f6242516647df6af06fdcbc34fddc2c
