model_group,config_id,variant,label,status,model,precision,framework,image,commit,isl,osl,conc,tp,ep,dp_attention,num_prompts,total_token_throughput,output_throughput,tput_per_gpu,output_tput_per_gpu,input_tput_per_gpu,mean_ttft_ms,mean_tpot_ms
dsr1_fp4,1k1k_c16,new,dsr1_1k1k_c16_new,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,16,8,1,false,48,2794.18737217632,1396.1182377938192,349.27342152204,174.5147797242274,174.7586417978126,383.6995491583366,10.422562241410873
dsr1_fp4,1k1k_c16,old,dsr1_1k1k_c16_old,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,rocm/7.0:rocm7.0_ubuntu_22.04_sgl-dev-v0.5.2-rocm7.0-mi35x-20250915,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,16,8,1,false,48,1705.5199623186868,852.1645856770024,213.18999528983585,106.5205732096253,106.66942208021055,667.994311627505,17.045503736377896
dsr1_fp4,1k1k_c32,new,dsr1_1k1k_c32_new,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,32,8,1,false,96,4378.045148980112,2181.9247529397903,547.255643622514,272.7405941174738,274.51504950504017,460.3516492716153,13.518955329836482
dsr1_fp4,1k1k_c32,old,dsr1_1k1k_c32_old,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,rocm/7.0:rocm7.0_ubuntu_22.04_sgl-dev-v0.5.2-rocm7.0-mi35x-20250915,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,32,8,1,false,96,2746.1327529378136,1368.614261524813,343.2665941172267,171.07678269060162,172.18981142662508,805.2469274019435,21.477251345338612
dsr1_fp4,1k1k_c4,new,dsr1_1k1k_c4_new,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,4,8,1,false,12,946.5905981524975,475.42638720143856,118.32382476906218,59.42829840017982,58.895526368882365,308.79355697349337,7.857855813886748
dsr1_fp4,1k1k_c4,old,dsr1_1k1k_c4_old,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,rocm/7.0:rocm7.0_ubuntu_22.04_sgl-dev-v0.5.2-rocm7.0-mi35x-20250915,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,4,8,1,false,12,553.1830720188809,277.83693383838187,69.14788400236012,34.72961672979773,34.41826727256238,791.4987995560901,13.163043609875235
dsr1_fp4,1k1k_c64,new,dsr1_1k1k_c64_new,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,64,8,1,false,192,6636.71869313344,3316.877827307401,829.58983664168,414.6097284134251,414.9801082282549,668.7104163635619,17.792372344374076
dsr1_fp4,1k1k_c64,old,dsr1_1k1k_c64_old,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,rocm/7.0:rocm7.0_ubuntu_22.04_sgl-dev-v0.5.2-rocm7.0-mi35x-20250915,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,64,8,1,false,192,4163.796045948288,2080.968535931047,520.474505743536,260.12106699138087,260.35343875215517,1328.5587480301426,28.128458292254567
dsr1_fp4,1k1k_c8,new,dsr1_1k1k_c8_new,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,8,8,1,false,24,1592.1053214817418,804.2405490611559,199.01316518521773,100.53006863264449,98.48309655257324,320.75632477062754,9.036791359690609
dsr1_fp4,1k1k_c8,old,dsr1_1k1k_c8_old,success,/dev/shm/hf_hub_cache/models--amd--DeepSeek-R1-0528-MXFP4-Preview/snapshots/6c94c74df15d3eabd6cbc71bb12a2b31dae6f5ff,fp4,sglang,rocm/7.0:rocm7.0_ubuntu_22.04_sgl-dev-v0.5.2-rocm7.0-mi35x-20250915,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,8,8,1,false,24,987.602738299474,498.88041814033886,123.45034228743425,62.36005226754236,61.090290019891896,567.6780240610242,14.495598787210026
