model_group,config_id,isl,osl,conc,num_prompts,old_label,new_label,old_status,new_status,old_tput_per_gpu,new_tput_per_gpu,measured_gain_x,measured_improvement_pct
dsr1_fp4,1k1k_c16,1024,1024,16,48,dsr1_1k1k_c16_old,dsr1_1k1k_c16_new,success,success,213.18999528983585,349.27342152204,1.63831994577042,63.831994577042
dsr1_fp4,1k1k_c32,1024,1024,32,96,dsr1_1k1k_c32_old,dsr1_1k1k_c32_new,success,success,343.2665941172267,547.255643622514,1.5942583781852782,59.42583781852782
dsr1_fp4,1k1k_c4,1024,1024,4,12,dsr1_1k1k_c4_old,dsr1_1k1k_c4_new,success,success,69.14788400236012,118.32382476906218,1.7111705799272705,71.11705799272706
dsr1_fp4,1k1k_c64,1024,1024,64,192,dsr1_1k1k_c64_old,dsr1_1k1k_c64_new,success,success,520.474505743536,829.58983664168,1.593910609428506,59.3910609428506
dsr1_fp4,1k1k_c8,1024,1024,8,24,dsr1_1k1k_c8_old,dsr1_1k1k_c8_new,success,success,123.45034228743425,199.01316518521773,1.6120908334287773,61.20908334287773
dsr1_fp4,8k1k_c128,8192,1024,128,384,dsr1_8k1k_c128_old,dsr1_8k1k_c128_new,success,success,1537.6459598421768,3308.3872628029526,2.1515923360813978,115.15923360813977
dsr1_fp4,8k1k_c16,8192,1024,16,48,dsr1_8k1k_c16_old,dsr1_8k1k_c16_new,success,success,698.1459875400258,1330.8203781797727,1.9062207646126086,90.62207646126086
dsr1_fp4,8k1k_c256,8192,1024,256,768,dsr1_8k1k_c256_old,dsr1_8k1k_c256_new,success,success,1541.636434984571,2280.6275848636583,1.4793550107593838,47.93550107593838
dsr1_fp4,8k1k_c32,8192,1024,32,96,dsr1_8k1k_c32_old,dsr1_8k1k_c32_new,success,success,955.064677698079,1904.0687862970676,1.9936542841122575,99.36542841122575
dsr1_fp4,8k1k_c4,8192,1024,4,12,dsr1_8k1k_c4_old,dsr1_8k1k_c4_new,success,success,273.7583894386711,504.68010046910854,1.84352377840888,84.35237784088801
dsr1_fp4,8k1k_c64,8192,1024,64,192,dsr1_8k1k_c64_old,dsr1_8k1k_c64_new,success,success,1252.8528642551432,2594.8968746563964,2.07119043958856,107.11904395885598
dsr1_fp4,8k1k_c8,8192,1024,8,24,dsr1_8k1k_c8_old,dsr1_8k1k_c8_new,success,success,447.0821839035084,806.8297868959818,1.8046565395460177,80.46565395460176
dsr1_fp4,GEOMEAN,,,,,,,12 configs,12 configs,,,1.7718158468204603,77.18158468204604
