model_group,config_id,variant,label,status,model,precision,framework,image,commit,isl,osl,conc,tp,ep,dp_attention,num_prompts,total_token_throughput,output_throughput,tput_per_gpu,output_tput_per_gpu,input_tput_per_gpu,mean_ttft_ms,mean_tpot_ms
glm5_fp8,1k1k_c16,new,glm5_fp8_1k1k_c16_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,1024,1024,16,8,1,false,48,1370.09653816023,684.5699696129644,171.26206727002875,85.57124620162055,85.6908210684082,221.58051457760544,21.662947393882526
glm5_fp8,1k1k_c16,old,glm5_fp8_1k1k_c16_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,16,8,1,false,48,397.2885216935755,198.5055677817821,49.661065211696936,24.813195972722763,24.847869238974173,1257.0632303977618,74.19341682129793
glm5_fp8,1k1k_c1,new,glm5_fp8_1k1k_c1_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,1024,1024,1,8,1,false,3,115.51704959783586,58.95338909174267,14.439631199729483,7.369173636467834,7.070457563261649,95.24153731763363,16.878512186759174
glm5_fp8,1k1k_c1,old,glm5_fp8_1k1k_c1_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,1,8,1,false,3,28.438420848497614,14.513366600627025,3.5548026060622018,1.8141708250783781,1.7406317809838237,747.183647705242,67.91645499015954
glm5_fp8,1k1k_c2,new,glm5_fp8_1k1k_c2_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,1024,1024,2,8,1,false,6,235.9637483378199,112.97971868514037,29.49546854222749,14.122464835642546,15.373003706584942,125.35476564274481,17.276802156366408
glm5_fp8,1k1k_c2,old,glm5_fp8_1k1k_c2_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,2,8,1,false,6,66.43608903243945,31.809677131760118,8.304511129054932,3.9762096414700148,4.328301487584917,1098.9787509897724,60.62510735185376
glm5_fp8,1k1k_c4,new,glm5_fp8_1k1k_c4_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,1024,1024,4,8,1,false,12,434.2640262539532,218.1096849011873,54.28300328174415,27.263710612648413,27.019292669095737,138.64790641431077,17.65708931667156
glm5_fp8,1k1k_c4,old,glm5_fp8_1k1k_c4_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,4,8,1,false,12,121.32389334236778,60.93508683220846,15.165486667795973,7.616885854026058,7.548600813769915,877.772257993153,62.82507273073795
glm5_fp8,1k1k_c8,new,glm5_fp8_1k1k_c8_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,1024,1024,8,8,1,false,24,751.2170548567177,379.47189077905455,93.90213185708971,47.43398634738182,46.468145509707895,165.55752550872663,19.55475436586557
glm5_fp8,1k1k_c8,old,glm5_fp8_1k1k_c8_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,1024,1024,8,8,1,false,24,217.69084977812528,109.96496663186161,27.21135622226566,13.745620828982702,13.465735393282959,996.7636334476992,66.98344117109184
glm5_fp8,8k1k_c4,new,glm5_fp8_8k1k_c4_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,8192,1024,4,8,1,false,12,1659.863603627846,182.66417793261868,207.48295045348075,22.833022241577336,184.64992821190341,666.136428587682,20.844099327137336
glm5_fp8,8k1k_c4,old,glm5_fp8_8k1k_c4_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,4,8,1,false,12,502.98162032850627,55.351972289599395,62.87270254106328,6.918996536199924,55.953706004863356,3017.1800893343366,67.94016128795049
glm5_fp8,8k1k_c8,new,glm5_fp8_8k1k_c8_new,success,zai-org/GLM-5-FP8,fp8,atom,rocm/atom:rocm7.2.2_ubuntu24.04_py3.12_pytorch_release_2.10.0_atom0.1.2.post,03ca7e62,8192,1024,8,8,1,false,24,2756.90374933793,311.99436819215066,344.61296866724126,38.99929602401883,305.61367264322246,1304.9396286708845,23.150164898630642
glm5_fp8,8k1k_c8,old,glm5_fp8_8k1k_c8_old,success,/dev/shm/model/GLM-5-FP8,fp8,sglang,rocm/sgl-dev:v0.5.8.post1-rocm700-mi35x-20260219,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,8,8,1,false,24,840.936978863498,95.16748688558333,105.11712235793725,11.895935860697916,93.22118649723933,3770.997298978424,76.37863952546144
