model_group,config_id,variant,label,status,model,precision,framework,image,commit,isl,osl,conc,tp,ep,dp_attention,num_prompts,total_token_throughput,output_throughput,tput_per_gpu,output_tput_per_gpu,input_tput_per_gpu,mean_ttft_ms,mean_tpot_ms
gptoss_fp4,8k1k_c128,new,gptoss_8k1k_c128_new,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,vllm/vllm-openai-rocm:v0.22.0,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,128,1,1,false,384,38527.46818939993,4311.928356015435,38527.46818939993,4311.928356015435,34215.53983338449,1929.9050216620042,26.965761997237113
gptoss_fp4,8k1k_c128,old,gptoss_8k1k_c128_old,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,rocm/7.0:rocm7.0_ubuntu_22.04_vllm_0.10.1_instinct_20250927_rc1,12de5c0f,8192,1024,128,1,1,false,384,34470.703702299244,3857.9022118729413,34470.703702299244,3857.9022118729413,30612.801490426304,2677.8309808232734,29.62704025248782
gptoss_fp4,8k1k_c16,new,gptoss_8k1k_c16_new,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,vllm/vllm-openai-rocm:v0.22.0,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,16,1,1,false,48,16918.0485270782,1895.2210231287945,16918.0485270782,1895.2210231287945,15022.827503949407,371.8838177010184,7.673311930161406
gptoss_fp4,8k1k_c16,old,gptoss_8k1k_c16_old,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,rocm/7.0:rocm7.0_ubuntu_22.04_vllm_0.10.1_instinct_20250927_rc1,12de5c0f,8192,1024,16,1,1,false,48,16000.870638698176,1792.47543676731,16000.870638698176,1792.47543676731,14208.395201930865,518.3910754712997,8.025058825088001
gptoss_fp4,8k1k_c256,new,gptoss_8k1k_c256_new,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,vllm/vllm-openai-rocm:v0.22.0,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,256,1,1,false,768,48560.2076333806,5376.394224663183,48560.2076333806,5376.394224663183,43183.81340871742,3647.745563701998,42.42324415033172
gptoss_fp4,8k1k_c256,old,gptoss_8k1k_c256_old,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,rocm/7.0:rocm7.0_ubuntu_22.04_vllm_0.10.1_instinct_20250927_rc1,12de5c0f,8192,1024,256,1,1,false,768,37758.53499446995,4180.475730430448,37758.53499446995,4180.475730430448,33578.059264039504,5377.6436350747945,54.13722829790676
gptoss_fp4,8k1k_c32,new,gptoss_8k1k_c32_new,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,vllm/vllm-openai-rocm:v0.22.0,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,32,1,1,false,96,25558.81391174551,2841.2042356441534,25558.81391174551,2841.2042356441534,22717.609676101358,618.4817592681308,10.136789556651774
gptoss_fp4,8k1k_c32,old,gptoss_8k1k_c32_old,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,rocm/7.0:rocm7.0_ubuntu_22.04_vllm_0.10.1_instinct_20250927_rc1,12de5c0f,8192,1024,32,1,1,false,96,21992.441391969085,2444.7541991102917,21992.441391969085,2444.7541991102917,19547.687192858793,843.757089904102,11.701932264202348
gptoss_fp4,8k1k_c64,new,gptoss_8k1k_c64_new,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,vllm/vllm-openai-rocm:v0.22.0,a66f20e9d830cce9364db2fbbb033dc6c3e154c4,8192,1024,64,1,1,false,192,32141.458413358396,3571.3495504567395,32141.458413358396,3571.3495504567395,28570.108862901656,1091.6175813933176,16.28328361499735
gptoss_fp4,8k1k_c64,old,gptoss_8k1k_c64_old,success,/dev/shm/hf_hub_cache/models--openai--gpt-oss-120b/snapshots/b5c939de8f754692c1647ca79fbf85e8c1e70f8a,fp4,vllm,rocm/7.0:rocm7.0_ubuntu_22.04_vllm_0.10.1_instinct_20250927_rc1,12de5c0f,8192,1024,64,1,1,false,192,28143.837682549434,3127.15996776072,28143.837682549434,3127.15996776072,25016.677714788715,1626.9929217523895,18.19345899308374
